Province_State,Country_Region,Last_Update,lat,lon,confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,4/11/2022 4:35,32.3182,-86.9023,1296730,19376,,,1,26446.6872,7497533,,1.494220077,84000001,USA,152911.4851,
Alaska,US,4/11/2022 4:35,61.3707,-152.4044,248675,1228,,,2,33993.12414,,,0.493817231,84000002,USA,,
American Samoa,US,4/11/2022 4:35,-14.271,-170.132,5018,8,,,60,9018.529502,,,0.159426066,16,ASM,,
Arizona,US,4/11/2022 4:35,33.7298,-111.4312,2014020,29681,,,4,27669.98635,18995536,,1.473719228,84000004,USA,260973.6853,
Arkansas,US,4/11/2022 4:35,34.9697,-92.3731,833685,11308,,,5,27625.55156,5085919,,1.356387604,84000005,USA,168530.4612,
California,US,4/11/2022 4:35,36.1162,-119.6816,9133630,89358,,,6,23114.18165,156952463,,0.978415792,84000006,USA,397225.0891,
Colorado,US,4/11/2022 4:35,39.0598,-105.3111,1355882,11984,,,8,23544.78483,17144991,,0.883852725,84000008,USA,297721.4271,
Connecticut,US,4/11/2022 4:35,41.5978,-72.7554,740894,10801,,,9,20780.76744,13728508,,1.457833374,84000009,USA,385060.3892,
Delaware,US,4/11/2022 4:35,39.3185,-75.5071,259259,2884,,,10,26624.41824,3228023,,1.112401112,84000010,USA,331499.5214,
Diamond Princess,US,4/11/2022 4:35,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,4/11/2022 4:35,38.8974,-77.0268,137603,1333,,,11,19497.44173,,,0.968728879,84000011,USA,,
Florida,US,4/11/2022 4:35,27.7663,-81.6868,5906352,73555,,,12,27499.88046,56212076,,1.245354154,84000012,USA,261722.5269,
Georgia,US,4/11/2022 4:35,33.0406,-83.6431,2503082,37332,,,13,23575.23101,17599403,,1.491441351,84000013,USA,165759.6481,
Grand Princess,US,4/11/2022 4:35,,,103,3,,,99999,,,,2.912621359,84099999,USA,,
Guam,US,4/11/2022 4:35,13.4443,144.7937,47565,352,,,66,28962.60709,380337,,0.740039945,316,GUM,231589.427,
Hawaii,US,4/11/2022 4:35,21.0943,-157.4983,241972,1382,,,15,17089.96293,3727115,,0.571140463,84000015,USA,263238.1317,
Idaho,US,4/11/2022 4:35,44.2405,-114.4788,444637,4895,,,16,24880.85212,1213896,,1.100898036,84000016,USA,67926.79617,
Illinois,US,4/11/2022 4:35,40.3495,-88.9861,3080436,35898,,,17,24309.3396,57898053,,1.165354515,84000017,USA,456903.9683,
Indiana,US,4/11/2022 4:35,39.8494,-86.2583,1692700,23484,,,18,25143.27,19392241,,1.387369292,84000018,USA,288051.2503,
Iowa,US,4/11/2022 4:35,42.0115,-93.2105,759721,9454,,,19,24079.37066,,,1.244404196,84000019,USA,,
Kansas,US,4/11/2022 4:35,38.5266,-96.7265,771652,8501,,,20,26487.08653,2269976,,1.101662407,84000020,USA,77917.31341,
Kentucky,US,4/11/2022 4:35,37.6681,-84.6701,1318950,15161,,,21,29522.08006,,,1.149474961,84000021,USA,,
Louisiana,US,4/11/2022 4:35,31.1695,-91.8678,1169338,17177,,,22,25153.57747,13223239,,1.468950808,84000022,USA,284444.5032,
Maine,US,4/11/2022 4:35,44.6939,-69.3819,237717,2222,,,23,17684.48727,4073378,,0.934724904,84000023,USA,303030.9207,
Maryland,US,4/11/2022 4:35,39.0639,-76.8021,1015358,14371,,,24,16794.76916,19748815,,1.415362857,84000024,USA,326659.9456,
Massachusetts,US,4/11/2022 4:35,42.2302,-71.5301,1709900,20143,,,25,24808.11398,42716211,,1.178022107,84000025,USA,619748.8924,
Michigan,US,4/11/2022 4:35,43.3266,-84.5361,2393265,35776,,,26,23964.14608,23550922,,1.494861622,84000026,USA,235819.1571,
Minnesota,US,4/11/2022 4:35,45.6945,-93.9002,1433225,12680,,,27,25413.44896,16368179,,0.884718031,84000027,USA,290234.877,
Mississippi,US,4/11/2022 4:35,32.7416,-89.6787,795824,12413,,,28,26740.05905,,,1.559766984,84000028,USA,,
Missouri,US,4/11/2022 4:35,38.4561,-92.2884,1417822,20177,,,29,23101.24045,9853234,,1.423098245,84000029,USA,160543.3742,
Montana,US,4/11/2022 4:35,46.9219,-110.4544,272849,3255,,,30,25529.06216,2803062,,1.192967539,84000030,USA,262267.9359,
Nebraska,US,4/11/2022 4:35,41.1254,-98.2681,478045,4175,,,31,24712.72865,5418264,,0.873348743,84000031,USA,280099.3379,
Nevada,US,4/11/2022 4:35,38.3135,-117.0554,707980,10136,,,32,22985.19945,,,1.431678861,84000032,USA,,
New Hampshire,US,4/11/2022 4:35,43.4525,-71.5639,303755,2458,,,33,22339.67365,3686285,,0.809204787,84000033,USA,271107.9781,
New Jersey,US,4/11/2022 4:35,40.2989,-74.521,2215685,33298,,,34,24945.25562,17824773,,1.502830953,84000034,USA,200679.9337,
New Mexico,US,4/11/2022 4:35,34.8405,-106.2485,518941,7360,,,35,24748.84695,6851285,,1.418272983,84000035,USA,326745.0517,
New York,US,4/11/2022 4:35,42.1657,-74.9481,5037932,68055,,,36,25897.22262,104920378,,1.350851897,84000036,USA,539337.6462,
North Carolina,US,4/11/2022 4:35,35.6301,-79.8064,2634007,23257,,,37,25114.28207,22875756,,0.882951336,84000037,USA,218111.8687,
North Dakota,US,4/11/2022 4:35,47.5289,-99.784,240180,2254,,,38,31507.80383,,,0.938740322,84000038,USA,,
Northern Mariana Islands,US,4/11/2022 4:35,15.0979,145.6739,11158,33,,,69,20234.29566,,,0.295751927,580,MNP,,
Ohio,US,4/11/2022 4:35,40.3888,-82.7649,2676629,38266,,,39,22898.50373,22110216,,1.425898023,84000039,USA,189152.4241,
Oklahoma,US,4/11/2022 4:35,35.5653,-96.9289,1036133,15640,,,40,26185.00363,,,1.509458728,84000040,USA,,
Oregon,US,4/11/2022 4:35,44.572,-122.0709,706687,7296,,,41,16755.12247,10920148,,1.032423124,84000041,USA,258910.1217,
Pennsylvania,US,4/11/2022 4:35,40.5908,-77.2098,2789262,44424,,,42,21787.72377,25033339,,1.592679354,84000042,USA,195542.5755,
Puerto Rico,US,4/11/2022 4:35,18.2208,-66.5901,487557,4177,,,72,15266.24028,3956495,,0.856720342,630,PRI,123884.5988,
Rhode Island,US,4/11/2022 4:35,41.6809,-71.5118,363372,3525,,,44,34301.05507,7675729,,0.970080248,84000044,USA,724562.1653,
South Carolina,US,4/11/2022 4:35,33.8569,-80.945,1469706,17650,,,45,28545.10855,12796197,,1.200920456,84000045,USA,248531.9052,
South Dakota,US,4/11/2022 4:35,44.2998,-99.4388,237246,2893,,,46,26817.79081,1302158,,1.219409389,84000046,USA,147193.2123,
Tennessee,US,4/11/2022 4:35,35.7478,-86.6923,2022647,26021,,,47,29617.74001,12779408,,1.286482515,84000047,USA,187129.6294,
Texas,US,4/11/2022 4:35,31.0545,-97.5635,6784445,87715,,,48,23355.0724,47883765,,1.295258172,84000048,USA,165139.8866,
Utah,US,4/11/2022 4:35,40.15,-111.8624,928621,4730,,,49,28965.47615,5986570,,0.509357424,84000049,USA,186732.6397,
Vermont,US,4/11/2022 4:35,44.0459,-72.7107,117991,620,,,50,18909.14744,3499288,,0.525463807,84000050,USA,560793.2191,
Virgin Islands,US,4/11/2022 4:35,18.3358,-64.8963,15764,111,,,78,14695.90185,352371,,0.704136006,850,VIR,328495.9168,
Virginia,US,4/11/2022 4:35,37.7693,-78.17,1675845,19859,,,51,19633.77974,13225819,,1.185014127,84000051,USA,154950.3785,
Washington,US,4/11/2022 4:35,47.4009,-121.4905,1467059,12566,,,53,19265.65482,,,0.856543602,84000053,USA,,
West Virginia,US,4/11/2022 4:35,38.4912,-80.9545,498414,6753,,,54,27810.99988,6062839,,1.354897736,84000054,USA,338300.318,
Wisconsin,US,4/11/2022 4:35,44.2685,-89.6165,1590205,14344,,,55,27311.68786,,,0.902022066,84000055,USA,,
Wyoming,US,4/11/2022 4:35,42.756,-107.3025,156281,1796,,,56,27002.77663,1399042,,1.149211996,84000056,USA,241731.3597,
